epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.804,2.56471,3.34088,3.48929,0.01237,0.39762,0.02398,0.00599,2.61778,3.44222,4.3399,5e-05,5e-05,5e-05
2,134.713,2.23151,3.12274,3.19646,0.23416,0.2375,0.168,0.04522,2.15122,2.89994,4.46763,0.000108787,0.000108787,0.000108787
3,198.821,1.83846,2.6257,2.98386,0.45898,0.38559,0.25454,0.07571,1.96929,2.62098,4.56846,0.00016345,0.00016345,0.00016345
4,261.762,1.61356,2.18377,3.07713,0.54986,0.3875,0.35515,0.1087,1.88306,3.32088,4.36632,0.000213988,0.000213988,0.000213988
5,324.998,1.57108,2.01577,2.88306,0.60298,0.62068,0.50594,0.17773,1.85742,2.97924,4.13555,0.0002604,0.0002604,0.0002604
6,387.323,1.49297,1.87505,2.88677,0.63716,0.69742,0.58959,0.23045,1.82626,2.47269,3.99991,0.000302688,0.000302688,0.000302688
7,449.679,1.48527,1.68776,2.91497,0.76967,0.70214,0.69611,0.28289,1.82055,2.09467,4.16029,0.00034085,0.00034085,0.00034085
8,512.329,1.45592,1.61511,2.98201,0.76756,0.7244,0.7761,0.35031,1.74614,1.99788,4.2045,0.000374887,0.000374887,0.000374887
9,573.43,1.42344,1.5123,2.92275,0.84445,0.71574,0.75916,0.34331,1.79591,1.70172,3.98991,0.0004048,0.0004048,0.0004048
10,634.773,1.35967,1.36275,2.781,0.84227,0.6875,0.74366,0.34758,1.80501,1.84452,4.02585,0.000430588,0.000430588,0.000430588
11,695.183,1.36194,1.34528,2.74994,0.62434,0.84853,0.77396,0.35743,1.72121,1.74918,3.90001,0.00045225,0.00045225,0.00045225
12,755.555,1.36914,1.3486,2.8697,0.7079,0.86845,0.78553,0.36296,1.67516,1.60003,3.84481,0.000469788,0.000469788,0.000469788
13,816.031,1.31339,1.29215,2.77599,0.6954,0.85536,0.75088,0.34095,1.65753,1.54238,3.83435,0.0004832,0.0004832,0.0004832
14,876.069,1.31054,1.28903,2.70226,0.64039,0.89286,0.78931,0.39281,1.5499,1.48287,3.91102,0.000492487,0.000492487,0.000492487
15,937.157,1.29375,1.23281,2.78723,0.65982,0.86845,0.79282,0.37556,1.58953,1.69106,4.14355,0.00049765,0.00049765,0.00049765
16,997.559,1.31373,1.27201,2.7232,0.69977,0.87218,0.82328,0.39278,1.53701,1.65031,4.14392,0.000498687,0.000498687,0.000498687
17,1058.8,1.24519,1.12821,2.69454,0.77399,0.90476,0.85058,0.42392,1.50786,1.48519,3.98116,0.0004956,0.0004956,0.0004956
18,1118.64,1.20797,1.15904,2.72677,0.74678,0.90012,0.82583,0.42899,1.50273,1.45268,3.94222,0.000488387,0.000488387,0.000488387
19,1180.54,1.22643,1.16245,2.73724,0.75516,0.89286,0.83986,0.4425,1.51119,1.40511,3.88316,0.00047705,0.00047705,0.00047705
20,1242.39,1.21746,1.14355,2.7336,0.80884,0.88095,0.87681,0.49286,1.54829,1.33125,3.64992,0.000461588,0.000461588,0.000461588
21,1303,1.27981,1.26973,3.1386,0.82096,0.86905,0.84359,0.46455,1.58921,1.35109,3.55246,0.000425,0.000425,0.000425
22,1364.17,1.27261,1.20552,3.14542,0.88841,0.89286,0.8904,0.45802,1.61711,1.38008,3.5386,0.00038375,0.00038375,0.00038375
23,1424.48,1.26823,1.18259,3.06191,0.92557,0.89286,0.90078,0.46615,1.58873,1.36994,3.63812,0.0003425,0.0003425,0.0003425
24,1485.31,1.25538,1.17715,3.07202,0.91597,0.89286,0.90631,0.52737,1.42626,1.23559,3.80252,0.00030125,0.00030125,0.00030125
25,1547.59,1.15942,1.10295,2.97523,0.94026,0.89286,0.90968,0.53059,1.40657,1.19956,3.80931,0.00026,0.00026,0.00026
26,1608.64,1.16711,1.0849,3.01497,0.92916,0.88095,0.91829,0.5229,1.38688,1.17778,3.83057,0.00021875,0.00021875,0.00021875
27,1669.63,1.10698,1.05111,3.15564,0.91645,0.86966,0.90606,0.53766,1.36593,1.16679,3.81999,0.0001775,0.0001775,0.0001775
28,1730.95,1.10638,1.01521,3.00064,0.84003,0.91782,0.90908,0.56912,1.33435,1.13495,3.72703,0.00013625,0.00013625,0.00013625
29,1792.81,1.12302,1.00894,3.02339,0.84663,0.89286,0.91072,0.58661,1.32922,1.12317,3.7016,9.5e-05,9.5e-05,9.5e-05
30,1854.64,1.08027,0.99931,3.0322,0.94791,0.85532,0.9033,0.58423,1.32293,1.12189,3.68273,5.375e-05,5.375e-05,5.375e-05
