epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2786,1.71046,2.9951,1.81192,0.00333,1,0.40668,0.16739,1.29535,3.54446,1.93597,8e-05,8e-05,8e-05
2,119.845,1.18548,2.38766,1.36046,0.00333,1,0.67141,0.40037,0.95194,3.32315,1.60865,0.00017406,0.00017406,0.00017406
3,180.906,1.00636,1.78633,1.24661,0.00333,1,0.64992,0.41116,1.13005,3.28978,1.59585,0.00026152,0.00026152,0.00026152
4,239.831,0.97675,1.56759,1.21994,0.00333,1,0.7795,0.50967,0.93652,3.22572,1.43591,0.00034238,0.00034238,0.00034238
5,298.446,0.97098,1.44829,1.21679,0.00333,1,0.94108,0.61896,0.85697,3.15514,1.38303,0.00041664,0.00041664,0.00041664
6,360.647,0.88523,1.47354,1.17577,0.00655,1,0.92578,0.66762,0.83188,2.93532,1.37587,0.0004843,0.0004843,0.0004843
7,420.456,0.94043,1.39635,1.22826,1,0.28202,0.85743,0.49146,0.95449,2.96924,1.46054,0.00054536,0.00054536,0.00054536
8,480.71,0.90836,1.33372,1.20104,0.11466,1,0.89521,0.5815,0.91897,3.02651,1.5186,0.00059982,0.00059982,0.00059982
9,541.565,0.94309,1.40189,1.18059,0.89205,0.82699,0.97388,0.505,1.21228,2.79418,1.76572,0.00064768,0.00064768,0.00064768
10,601.314,0.8826,1.22001,1.13765,1,0.51754,0.8597,0.47275,1.35198,3.01294,1.89328,0.00068894,0.00068894,0.00068894
11,659.767,0.97362,1.19911,1.20026,0.89967,0.89688,0.94974,0.20906,1.76523,2.97889,2.61863,0.0007236,0.0007236,0.0007236
12,718.715,1.00029,1.36832,1.2624,0.81175,0.95,0.84892,0.33171,1.47482,3.07015,2.24809,0.00075166,0.00075166,0.00075166
13,778.096,0.97995,1.21494,1.21734,0.94959,0.94217,0.97795,0.38419,1.51765,2.7941,2.26597,0.00077312,0.00077312,0.00077312
14,837.528,0.92146,1.14208,1.1236,0.57361,0.55,0.67116,0.25086,1.22982,3.16142,1.94015,0.00078798,0.00078798,0.00078798
15,897.881,0.86053,1.10962,1.12782,0.75039,0.95,0.91176,0.44127,1.16247,2.50653,2.07187,0.00079624,0.00079624,0.00079624
16,977.718,0.86607,1.1568,1.13703,0.65004,0.75,0.80338,0.34437,1.29673,3.1165,2.59493,0.0007979,0.0007979,0.0007979
17,1040.72,0.87278,0.99772,1.151,0.64759,0.55,0.67577,0.22464,1.70376,2.94932,2.68377,0.00079296,0.00079296,0.00079296
18,1099.96,0.86307,1.04157,1.15874,0.9761,0.7,0.86769,0.35843,1.47036,2.49737,2.09629,0.00078142,0.00078142,0.00078142
19,1158.41,0.838,1.05891,1.13393,0.97857,0.9,0.97985,0.55177,1.26615,2.03407,1.748,0.00076328,0.00076328,0.00076328
20,1217.02,0.81695,1.01526,1.11436,0.99503,1,0.995,0.61483,1.11906,1.57558,1.6367,0.00073854,0.00073854,0.00073854
21,1277.87,0.71973,1.39125,1.16306,0.99503,1,0.995,0.4994,1.43691,1.73736,1.94799,0.00068,0.00068,0.00068
22,1337.2,0.61639,1.23449,1.14065,0.99624,1,0.995,0.5947,1.2468,1.55001,1.81216,0.000614,0.000614,0.000614
23,1396.36,0.64965,1.24092,1.171,0.99693,1,0.995,0.65689,1.09807,1.49295,1.74406,0.000548,0.000548,0.000548
24,1455.12,0.62811,1.22228,1.15679,0.99406,1,0.995,0.68733,1.07684,1.61927,1.75043,0.000482,0.000482,0.000482
25,1515.23,0.56973,1.13861,1.07919,0.99405,1,0.995,0.66674,1.13813,1.67077,1.75048,0.000416,0.000416,0.000416
26,1578.73,0.54821,1.06927,1.02653,0.94524,0.95,0.95658,0.6643,1.11278,1.61927,1.69577,0.00035,0.00035,0.00035
27,1641.66,0.5549,1.03645,1.07241,0.99711,1,0.995,0.72572,0.97697,1.35562,1.56997,0.000284,0.000284,0.000284
28,1705.49,0.52058,0.99624,1.06296,0.99672,1,0.995,0.75896,0.87453,1.16256,1.45373,0.000218,0.000218,0.000218
29,1767.66,0.4989,0.96136,1.04166,0.99588,1,0.995,0.7593,0.8768,1.15603,1.44415,0.000152,0.000152,0.000152
30,1829.68,0.53954,0.98867,1.04669,0.99561,1,0.995,0.76,0.87136,1.1415,1.43833,8.6e-05,8.6e-05,8.6e-05
